title,date,type_of_regulation,sector
BANK INDONESIA REGULATION NO.10/30/PBI/2008 - CONCERNING CHANGE ON BANK OF INDONESIA REGULATION NO.10/26/PBI/2008 CONCERNING SHORT-TERM FINANCING FACILITY FOR COMMERCIAL BANKS,14 November 2008,Bank Indonesia Regulation,Banking
BANK INDONESIA CIRCULAR LETTER NUMBER 10/37/DPM - GOVERNMENT BOND REVERSE REPO TRANSACTIONS WITH BANK INDONESIA IN OPEN MARKET OPERATIONS,13 November 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 10/ 28 /PBI/2008 - THE PURCHASE OF FOREIGN CURRENCY AGAINST RUPIAH THROUGH BANKS,12 November 2008,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO.10/27/PBI/2008 - CONCERNING SECOND AMENDMENT TO BANK INDONESIA REGULATION NO.6/9/PBI/2004 REGARDING FOLLOW-UP TO THE SUPERVISION AND STIPULATION OF THE STATUS OF BANKS,30 October 2008,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 10/22/PBI/2008 - MEETING OF NEED OF FOREIGN EXCHANGE FOR DOMESTIC COPORATION THROUGH BANK,15 October 2008,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 10/21/PBI/2008 - FIFTH AMENDMENT TO BANK INDONESIA REGULATION NUMBER 4/9/PBI/2002 CONCERNING OPEN MARKET OPERATIONS,15 October 2008,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NUMBER 10/32/DINT - AMENDMENT TO CIRCULAR LETTER OF BANK INDONESIA NUMBER 9/1/DINT DATED 15 FEBRUARY 2007 CONCERNING BANK FOREIGN BORROWINGS,14 October 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 10/20/PBI/2008 - AMENDMENT TO BANK INDONESIA REGULATION NUMBER 7/1/PBI/2005 CONCERNING BANK FOREIGN BORROWINGS,14 October 2008,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER 10/18/PBI/2008 CONCERNING RESTRUCTURING OF FINANCING FOR ISLAMIC BANKS AND ISLAMIC BUSINESS UNITS,25 September 2008,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NUMBER: 10/17/PBI/2008 - PRODUCT OF SHARIA BANK AND SHARIA BUSINESS UNIT,25 September 2008,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.10/15/PBI/2008 - REGARDING THE CAPITAL ADEQUACY RATIO FOR COMMERCIAL BANK,24 September 2008,Bank Indonesia Regulation,Banking
"BANK INDONESIA CIRCULAR LETTER NUMBER 10/30/DPM - THIRD AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 7/1/DPM DATED JANUARY 3, 2005, CONCERNING IMPLEMENTATION OF FINE TUNE OPERATION TRANSACTIONS IN OPEN MARKET OPERATIONS",23 September 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER 10/14/PBI/2008 - FOURTH AMENDMENT TO BANK INDONESIA REGULATION NUMBER 4/9/PBI/2002 CONCERNING OPEN MARKET OPERATIONS,23 September 2008,Bank Indonesia Regulation,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 10/29/DPM - PROCEDURES OF APPLICATION, REPORTING, AND SUPERVISION ON SUB-REGISTRY",2 September 2008,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NUMBER 10/28/DPM - SECOND AMENDMENT TO CIRCULAR LETTER OF BANK INDONESIA NUMBER 8/13/DPM DATED 1 MAY 2006 CONCERNING THE ISSUANCE OF BANK INDONESIA CERTIFICATE THROUGH AUCTION,1 September 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NUMBER 10/27/2008 - ADMINISTRATION PROCEDURES OF GOVERNMENT SHARIA SECURITIES (SBSN),21 August 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER 10/13/PBI/2008 - GOVERNMENT SECURITIES AUCTION AND ADMINISTRATION,21 August 2008,Bank Indonesia Regulation,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 10/24/DPM - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 10/2/DPM DATED JANUARY 31, 2008, CONCERNING REPURCHASE AGREEMENT TRANSACTIONS WITH BANK INDONESIA IN SECONDARY MARKET",14 July 2008,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NUMBER 10/23/DPM - SECOND AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 7/1/DPM DATED JANUARY 3, 2005, CONCERNING IMPLEMENTATION OF FINE TUNE OPERATION TRANSACTIONS IN OPEN MARKET OPERATIONS",14 July 2008,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NUMBER 10/22/DPM - SECOND AMENDMENT TO CIRCULAR LETTER OF BANK INDONESIA NUMBER 6/21/DPM DATED 26 APRIL 2004 CONCERNING THE PROCEDURE FOR PURCHASING AND/OR SELLING OF GOVERNMENT BONDS BY BANK INDONESIA IN SECONDARY MARKET IN OPEN MARKET OP,7 July 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NUMBER 10/21/DPM - OPERATION OF THE BANK INDONESIA - SCRIPLESS SECURITIES SETTLEMENT SYSTEM,23 May 2008,Bank Indonesia Circular Letters,Monetary
"BANK INDONESIA CIRCULAR LETTER NO. 10/18/DPM - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NO. 9/4/DPM DATED MARCH 16, 2007, CONCERNING PROCEDURES OF GOVERNMENT BOND AUCTION IN THE PRIMARY MARKET AND GOVERNMENT BOND ADMINISTRATION",15 April 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NO. 10/17/DPM - PROCEDURES OF REPO BANK INDONESIA SHARIA CERTIFICATE TRANSACTION WITH BANK INDONESIA,31 March 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA CIRCULAR LETTER NO. 10/16/DPM - PROCEDURES OF THE ISSUANCE OF BANK INDONESIA SHARIA CERTIFICATE THROUGH AUCTION,31 March 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NUMBER 10/11/PBI - BANK INDONESIA SHARIA CERTIFICATE,31 March 2008,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER OF BANK INDONESIA NO. 10/12/DASP - CONCERNING USER FEES FOR THE BANK INDONESIA REAL TIME GROSS SETTLEMENT SYSTEM AND BANK INDONESIA NATIONAL CLEARING SYSTEM IN IMPLEMENTATION OF THE TREASURY SINGLE ACCOUNT.,5 March 2008,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULAR LETTER OF BANK INDONESIA NO. 10/11/DASP - OPERATION OF THE BANK INDONESIA REAL TIME GROSS SETTLEMENT SYSTEM,5 March 2008,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULAR LETTER OF BANK INDONESIA NUMBER 10/10/DASP DATED 5 MARCH 2008 - CONCERNING TRANSACTION PROCESSING IN THE BANK INDONESIA REAL TIME GROSS SETTLEMENT SYSTEM (BI-RTGS SYSTEM) AS CONCERNS PROTECTION FOR CUSTOMERS OF BI-RTGS SYSTEM PARTICIPANTS,5 March 2008,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULAR LETTER OF BANK INDONESIA NUMBER: 10/9/DASP DATED 5 MARCH 2008 - CONCERNING PRINCIPLES FOR OPERATION AND OVERSIGHT OF THE BI-RTGS SYSTEM,5 March 2008,Bank Indonesia Circular Letters,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO. 10/7/PBI/2008 NON-BANK CORPORATE FOREIGN BORROWINGS,19 February 2008,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO.10/6/PBI/2008 - CONCERNING THE BANK INDONESIA REAL TIME GROSS SETTLEMENT SYSTEM,18 February 2008,Bank Indonesia Regulation,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO. 10/5/PBI/2008 - AMENDMENT TO BANK INDONESIA REGULATION NUMBER 5/6/PBI/2003 CONCERNING DOMESTIC LETTER OF CREDIT,15 February 2008,Bank Indonesia Regulation,Monetary
"CIRCULAR LETTER NUMBER NO. 10/5/DSM - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 5/31/DSM DATED DECEMBER 1, 2003 CONCERNING MONTHLY REPORT OF SHARIA COMMERCIAL BANKS",13 February 2008,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NUMBER NO. 10/3/UKMI - COMMERCIAL BANKS HEAD OFFICE REPORT,8 February 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 10/3/PBI/2008 - COMMERCIAL BANKS HEAD OFFICE REPORT,4 February 2008,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO. 10/2/PBI/2008 CONCERNING BANK INDONESIA – SCRIPLESS SECURITIES SETTLEMENT SYSTEM,4 February 2008,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NUMBER. 10/3/PBI/2008 - COMMERCIAL BANKS HEAD OFFICE REPORT,4 February 2008,Bank Indonesia Regulation,Banking
BANK INDONESIA CIRCULAR LETTER NO. 10/2/DPM - REPURCHASE AGREEMENT TRANSACTIONS WITH BANK INDONESIA IN SECONDARY MARKET,1 February 2008,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO.10/1/PBI/2008 - CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 8/5/PBI/2006 REGARDING BANKING MEDIATION,29 January 2008,Bank Indonesia Regulation,Banking
"BANK INDONESIA CIRCULAR LETTER NO. 10/1/DPM - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NO. 8/13/DPM DATED MAY 1, 2006, CONCERNING ISSUANCE OF BANK INDONESIA CERTIFICATE UNDER AUCTION",25 January 2008,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER NUMBER NO. 9/34/DSM - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NO.3/14/DSM DATED JUNE 13, 2001 CONCERNING INTERNATIONAL TRANSACTION BY NON-BANK FINANCIAL INSTITUTIONS",18 December 2007,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 9/30/DPNP - RISK MANAGEMENT IN THE USE OF INFORMATION TECHNOLOGY BY COMMERCIAL BANKS,12 December 2007,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO.9/17/PBI/2007 - THE RATING SYSTEM FOR RURAL BANKSBASED ON SHARIA PRINCUPLES,4 December 2007,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 9/15/PBI/2007 - IMPLEMENTATION OF RISK MANAGEMENT IN THE USE OF INFORMATION TECHNOLOGY BY COMMERCIAL BANKS,30 November 2007,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NUMBER NO. 9/28/DSM - AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 3/13/DSM DATED JUNE 13, 2001 CONCERNING REPORTING OF INTERNATIONAL TRANSACTION BY BANKS",30 November 2007,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 9/24/DPBS - THE RATING SYSTEM FOR COMMERCIAL BANKS BASED ON SHARIA PRINCIPLES,30 October 2007,Bank Indonesia Circular Letters,Banking
"BANK INDONESIA CIRCULAR LETTER NO. 9/21/DPM - SECOND AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NO. 6/7/DPM DATED FEBRUARY 16, 2004, CONCERNING SHORT-TERM FUNDING FACILITIES FOR COMMERCIAL BANKS",26 September 2007,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO.9/12/PBI/2007 - CONCERNING AMENDMENT TO BANK INDONESIA REGULATION NUMBER 8/17/PBI/2006 REGARDING INCENTIVES IN THE CONTEXT OF BANK CONSOLIDATION,21 September 2007,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.9/9/PBI/2007 - AMENDMENT TO BANK INDONESIA REGULATION NUMBER 8/21/PBI/2006 CONCERNING THE QUALITY RATING OF ASSETS OF COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES,18 June 2007,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 9/7/PBI/2007 AMENDMENT TO BANK INDONESIA REGULATION NUMBER 8/3/PBI/2006 CONCERNING CONVERSION OF BUSINESS OF CONVENTIONAL COMMERCIAL BANKS TO COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES AND ESTABLISHMENT O,4 May 2007,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 9/8/DPM MUDHARABAH INTERBANK INVESTMENT CERTIFICATE,30 March 2007,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 9/7/DPM SHARIA INTERBANK MONEY MARKET   AND APPENDIX,30 March 2007,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 9/5/PBI/2007 SHARIA INTERBANK MONEY MARKET,30 March 2007,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NO. 9/6/DPM AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 8/4/DPM DATED FEBRUARY 7, 2006 CONCERNING BANK INDONESIA CERTIFICATE TRADING TRANSACTIONS UNDER REPURCHASE AGREEMENT (REPO) WITH BANK INDONESIA IN SECONDARY MARKETS  AND APPEN",26 March 2007,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER NO. 9/5/DPM AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 7/1/DPM DATED JANUARY 3, 2005 CONCERNING FINE TUNE OPERATION TRANSACTIONS IN OPEN MARKET OPERATIONS",26 March 2007,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO.9/4/PBI/2007 - REVOCATION OF SOME DECREES OF THE BOARD OF MANAGING DIRECTOR OF BANK INDONESIA AND BANK INDONESIA CIRCULAR LETTERS RELATED TO BANKING PRUDENTIAL PRINCIPLES,26 March 2007,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 9/4/DPM PROCEDURES OF GOVERNMENT SECURITIES AUCTION IN PRIMARY MARKET AND GOVERNMENT SECURITIES ADMINISTRATION,16 March 2007,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 9/3/PBI/2007 GOVERNMENT SECURITIES AUCTION AND ADMINISTRATION,16 March 2007,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NO. 9/3/DPM COMMERCIAL BANK DAILY REPORT AND MONEY MARKET INFORMATION CENTER CHARGES  AND APPENDIX,5 March 2007,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 9/2/DPM COMMERCIAL BANK DAILY REPORT AND APPENDIX,5 March 2007,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 9/2/PBI/2007 COMMERCIAL BANK DAILY REPORT,5 March 2007,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO. 9/1/PBI/2007 THE RATING SYSTEM FOR COMMERCIAL BANKS BASED ON SHARIA PRINCIPLES,24 January 2007,Bank Indonesia Regulation,Banking
CIRCULAR LETTER 8/27/DPNP PRUDENTIAL PRINCIPLES AND REPORTS IN THE APPLICATION OF CONSOLIDATED RISK MANAGEMENT FOR BANKS PERFORMING CONTROL ON SUBSIDIARY COMPANIES,27 November 2006,Bank Indonesia Circular Letters,Banking
"BANK INDONESIA REGULATION NO. 8/27/PBI/2006 REVOCATION AND WITHRAWAL FROM CIRCULATION OF THE YEAR 1979 ISSUE OF COINS IN THE RP 5 DENOMINATION, THE YEAR 1991 ISSUE OF COINS IN THE RP 50 DENOMINATION AND THE YEAR 1991 ISSUE OF COINS IN THE RP 100 DENOMINAT",22 November 2006,Bank Indonesia Regulation,Payment System And Rupiah Management
CIRCULAR LETTER NO. 8/26/DPBS MINIMUM CAPITAL ADEQUACY REQUIREMENT FOR SHARIA RURAL BANKS AND APPENDIX,14 November 2006,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 8/26/PBI/2006 RURAL BANKS,8 November 2006,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 8/24/DPBS ASSETS QUALITY RATING FOR SHARIA RURAL BANKS AND APPENDIX,20 October 2006,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 8/23/DPBS CERTIFICATION AGENCY FOR SHARIA RURAL BANKS,20 October 2006,Bank Indonesia Circular Letters,Banking
"CIRCULAR LETTER NO. 8/22/DPBS ASSETS QUALITY RATING FOR COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES AND APPENDIX 1, APPENDIX 2",18 October 2006,Bank Indonesia Circular Letters,Banking
"CIRCULAR LETTER NO. 8/21/DINT REVOCATION OF BANK INDONESIA CIRCULARS IN CONNECTION WITH STANDARD PRICES OF EXPORT GOODS, SECURITY FACILITIES AND INTERNATIONAL TRADE FINANCING, SALES AND PURCHASES OF FOREIGN EXCHANGES RESULTING FROM EXPORTS AND CREDIT CER",12 October 2006,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 8/20/DASP FEES FOR THE USE OF BANK INDONESIA REAL TIME GROSS SETTLEMENT,11 October 2006,Bank Indonesia Circular Letters,Payment System And Rupiah Management
BANK INDONESIA REGULATION NO. 8/25/PBI/2006 AMENDMENT TO BANK INDONESIA REGULATION NUMBER 6/17/PBI/2004 CONCERNING SHARIA RURAL BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/24/PBI/2006 ASSETS QUALITY RATING FOR SHARIA RURAL BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/23/PBI/2006 AMENDMENT TO BANK INDONESIA REGULATION NUMBER 6/21/PBI/2004 CONCERNING STATUTORY RESERVES IN RUPIAH AND FOREIGN CURRENCY FOR COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/22/PBI/2006 MINIMUM CAPITAL ADEQUACY REQUIREMENT OF SHARIA RURAL BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/21/PBI/2006 THE QUALITY RATING OF ASSETS OF COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/20/PBI/2006 TRANSPARENCY OF FINANCIAL CONDITION OF RURAL BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/19/PBI/2006 EARNING ASSETS QUALITY AND ALLOWANCE FOR EARNING ASSETS LOSSES FOR RURAL BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/18/PBI/2006 THE MINIMUM CAPITAL ADEQUACY REQUIREMENT FOR RURAL BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/17/PBI/2006 INCENTIVES IN THE FRAMEWORK OF BANK CONSOLIDATION,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/16/PBI/2006 THE SINGLE PRESENCE POLICY IN INDONESIAN BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/15/PBI/2006 SPECIAL TREATMENT ON BANK CREDIT FOR CERTAIN AREAS IN INDONESIA HIT BY NATURAL DISASTER,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/14/PBI/2006 AMENDMENT TO REGULATION OF BANK INDONESIA NUMBER 8/4/PBI/2006 REGARDING IMPLEMENTATION OF GOOD CORPORATE GOVERNANCE FOR COMMERCIAL BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/13/PBI/2006 AMENDMENT TO BANK INDONESIA REGULATION NUMBER 7/3/PBI/2005 CONCERNING THE LEGAL LENDING LIMIT FOR COMMERCIAL BANKS,5 October 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA CIRCULAR LETTER NO. 8/19/DPBS SHARIA SUPERVISION AND SUPERVISION FINDING REPORT GUIDELINES FOR SHARIA SUPERVISORY BOARD,24 August 2006,Bank Indonesia Circular Letters,Banking
"CIRCULAR LETTER NO. 8/18/DASP AMENDMENT ON THE CIRCULAR LETTER OF BANK INDONESIA NO. 7/60/DASP DATED DECEMBER 30, 2005 REGARDING CUSTOMER PROTECTION AND PRUDENTIAL PRINCIPLES AND IMPROVEMENT OF SECURITY IN OPERATING CARD BASED PAYMENT INSTRUMENT ACTIVITI",23 August 2006,Bank Indonesia Circular Letters,Payment System And Rupiah Management
"CIRCULAR LETTER NO. 8/17/DASP THE SECOND AMENDMENT OF CIRCULAR LETTER OF BANK INDONESIA NO. 2/10/DASP DATED JUNE 8, 2000 CONCERNING PROCEDURES IN WITHDRAWING BLANK CHEQUES",25 July 2006,Bank Indonesia Circular Letters,Payment System And Rupiah Management
BANK INDONESIA CIRCULAR LETTER NO. 8/16/DPBS COMMERCIAL BANK PERIODIC REPORTS,20 July 2006,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 8/15/DPNP COMMERCIAL BANK PERIODIC REPORTS,12 July 2006,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 8/12/PBI/2006 COMMERCIAL BANK PERIODIC REPORTS,10 July 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/12/PBI/2006 - COMMERCIAL BANK PERIODIC REPORTS GOVERNOR OF BANK INDONESIA,10 July 2006,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO. 8/11/PBI/2006 REVOCATION OF BANK INDONESIA REGULATION NUMBER 2/12/PBI/2000 CONCERNING INTERBANK OFFSHORE LOAN GUARANTEE AS LASTLY AMENDED BY BANK INDONESIA REGULATION NUMBER 3/14/PBI/2001,29 June 2006,Bank Indonesia Regulation,Monetary
BANK INDONESIA REGULATION NO. 8/10/PBI/2006 SPECIAL TREATMENT FOR BANK CREDIT FOLLOWING THE NATURAL DISASTER IN YOGYAKARTA AND NEARBY AREAS IN CENTRAL JAVA PROVINCE,7 June 2006,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 8/14/DPNP BANKING MEDIATION AND APPENDIX,1 June 2006,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 8/9/PBI/2006 AMENDMENT TO BANK INDONESIA REGULATION NUMBER 7/25/PBI/2005 CONCERNING RISK MANAGEMENT CERTIFICATION FOR MANAGEMENT AND OFFICERS OF COMMERCIAL BANKS,29 May 2006,Bank Indonesia Regulation,Banking
"BANK INDONESIA REGULATION NO. 8/8/PBI/2006 REVOCATION OF BANK INDONESIA REGULATION NUMBER 3/1/PBI/2001, DATED 4 JANUARY 2001, ON MICRO CREDIT PROJECT AS LAST AMENDED BY BANK INDONESIA REGULATION NUMBER 5/16/PBI/2003, DATED 28 AUGUST 2003, AND ITS IMPLEMEN",9 May 2006,Bank Indonesia Regulation,Monetary
CIRCULAR LETTER NO. 8/13/DPM ISSUANCE OF BANK INDONESIA CERTIFICATE THROUGH AUCTION,1 May 2006,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 8/8/DPBS - CONVERSION BUSINESS OF CONVENTIONAL COMMERCIAL BANKS CONDUCTINGBUSINESS BASED ON SHARIA PRINCIPLES AND ESTABLISHMENT OF BANK OFFICES CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES BY CONVENTIONALCOMMERCIAL BANKS.,1 March 2006,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 8/7/PBI/2006 AMANDMENT TO BANK INDONESIA REGULATION NUMBER 7/13/PBI/2005 CONCERNING CAPITAL ADEQUACY RATIO FOR COMMERCIAL BANKS BASED ON SHARIA PRINCIPLES,27 February 2006,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NO. 8/6/DPBPR AMANDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 7/63/DPBPR DATED DECEMBER 30, 2005 CONCERNING DEBTOR INFORMATION SYSTEM",20 February 2006,Bank Indonesia Circular Letters,Banking
CIRCULAR LETTER NO. 8/5/DPM GOVERNMENT SECURITIES REVERSE REPO TRANSACTIONS WITH BANK INDONESIA WITHIN THE FRAMEWORK OF OPEN MARKET OPERATIONS  AND  APPENDIX,7 February 2006,Bank Indonesia Circular Letters,Monetary
CIRCULAR LETTER NO. 8/4/DPM SECONDARY MARKET TRADING OF BANK INDONESIA CERTIFICATES UNDER REPURCHASE AGREEMENT (REPO) WITH BANK INDONESIA  AND  APPENDIX,7 February 2006,Bank Indonesia Circular Letters,Monetary
"CIRCULAR LETTER NO. 8/3/DPNP ALTERED CALCULATION OF RISK-WEIGHTED ASSETS FOR SMALL BUSINESS LOAN, HOUSE OWNERSHIP LOAN AND EMPLOYEE/RETIREMENT LOAN  AND  APPENDIX",30 January 2006,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 8/6/PBI/2006 IMPLEMENTATION OF CONSOLIDATED RISK MANAGEMENT FOR BANKS PERFORMING CONTROL ON SUBSIDIARY COMPANIES,30 January 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO.8/5/PBI/2006 BANKING MEDIATION,30 January 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/4/PBI/2006 GOOD CORPORATE GOVERNANCE IMPLEMENTATION BY COMMERCIAL BANKS,30 January 2006,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 8/2/DPNP IMPLEMENTATION OF PHASING IN OF EQUAL QUALITY DETERMINATION FOR EARNING ASSETS GIVEN BY MORE THAN ONE BANK TO A PARTICULAR DEBTOR OR PROJECT  AND  APPENDIX,30 January 2006,Bank Indonesia Circular Letters,Banking
BANK INDONESIA REGULATION NO. 8/3/PBI/2006 CONVERSION OF BUSINESS OF CONVENTIONAL COMMERCIAL BANKS TO COMMERCIAL BANKS CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES AND STABLISHMENT OF BANK OFFICES CONDUCTING BUSINESS BASED ON SHARIA PRINCIPLES BY CONVEN,30 January 2006,Bank Indonesia Regulation,Banking
BANK INDONESIA REGULATION NO. 8/2/PBI/2006 AMENDMENT TO BANK INDONESIA REGULATION NUMBER 7/2/PBI/2005 CONCERNING ASSET QUALITY RATING FOR COMMERCIAL BANKS,30 January 2006,Bank Indonesia Regulation,Banking
CIRCULAR LETTER NO. 8/1/DPM AMENDMENT TO BANK INDONESIA CIRCULAR LETTER NUMBER 6/21/DPM DATED 26 MARCH 2004 CONCERNING THE PROCEDURES OF BUYING AND/OR SELLING OF GOVERNMENT SECURITIES IN SECONDARY MARKET BY BANK INDONESIA IN RELATION TO OPEN MARKET OPERA,27 January 2006,Bank Indonesia Circular Letters,Monetary
BANK INDONESIA REGULATION NO. 8/1/PBI/2006 THE EMERGENCY FINANCING FACILITY,3 January 2006,Bank Indonesia Regulation,Banking
"CIRCULAR LETTER NO. 7/60/DASP CUSTOMER PROTECTION AND PRUDENTIAL PRINCIPLES, AND SECURITY IMPROVEMENT FOR THE OPERATION OF CARD-BASED PAYMENT INSTRUMENT ACTIVITIES",30 December 2005,Bank Indonesia Circular Letters,Payment System And Rupiah Management
CIRCULAR LETTER NO. 7/59/DASP ADMINISTRATION PROCEDURES OF CARD-BASED PAYMENT INSTRUMENT ACTIVITIES,30 December 2005,Bank Indonesia Circular Letters,Payment System And Rupiah Management
